policyholder_age,occupation,region,schufa_score,customer_since_years,vehicle_value,vehicle_type,coverage_type,number_of_prior_claims,claim_amount,police_report,witnesses_present,reporting_delay_days,fraud
37,Student,PLZ_04,605,0,76917.61141817967,Compact,Partial coverage,1,12634.356312907785,1,0,31,0
46,Student,PLZ_01,636,8,22116.794440443537,Luxury,Liability,3,19670.366038711683,0,0,22,1
37,Unemployed,PLZ_06,467,8,54037.879642130734,Compact,Comprehensive,2,11888.239486139772,0,1,42,0
44,Student,PLZ_08,566,9,68533.2318313813,Mid-range,Comprehensive,3,5804.72306388894,0,1,58,0
69,Student,PLZ_01,465,23,54848.694293477856,Luxury,Partial coverage,2,3916.1519975264046,1,1,30,0
39,Self-employed,PLZ_03,548,20,55360.85046844007,Sports car,Comprehensive,1,1701.9956475736637,0,0,34,0
57,Employed,PLZ_05,305,0,65583.00193850316,Compact,Partial coverage,1,3406.174635115561,0,1,38,0
34,Self-employed,PLZ_07,709,9,56502.59807475266,Compact,Partial coverage,4,22604.056322915498,0,0,34,1
39,Employed,PLZ_09,605,17,66336.1551320807,Compact,Liability,3,6767.759857261815,1,0,38,1
59,Employed,PLZ_10,784,10,79303.64253284424,Sports car,Partial coverage,0,21573.713620695693,0,1,36,0
66,Employed,PLZ_08,708,14,43977.90884340253,Sports car,Liability,0,4027.6512775830934,0,1,17,1
65,Self-employed,PLZ_02,672,4,53608.6922845973,SUV,Partial coverage,3,25917.189363809382,1,0,20,1
29,Self-employed,PLZ_09,526,5,49602.70104116939,Luxury,Liability,2,4922.775718038959,0,0,39,1
52,Employed,PLZ_02,610,19,23273.084301128245,Mid-range,Comprehensive,0,4870.252504886159,1,1,19,0
70,Student,PLZ_10,755,0,66824.00882815386,SUV,Comprehensive,0,7688.488560812287,1,1,0,0
53,Unemployed,PLZ_06,626,21,31517.621695145106,SUV,Comprehensive,0,7586.6257663446,1,0,23,0
38,Student,PLZ_04,526,9,76425.17334880914,Luxury,Partial coverage,0,9994.36254960338,0,1,14,0
55,Unemployed,PLZ_10,429,18,66333.83072860917,Compact,Comprehensive,3,10087.330098768822,0,1,27,1
43,Student,PLZ_08,558,22,13247.255684264019,Sports car,Liability,1,16733.115993473068,1,1,31,0
80,Employed,PLZ_04,850,16,5725.795410893269,SUV,Liability,1,25378.782378274034,1,0,8,1
65,Unemployed,PLZ_09,733,16,12073.034958101078,SUV,Comprehensive,5,3340.158856243547,0,0,32,0
60,Student,PLZ_02,634,21,62512.811097786056,Luxury,Partial coverage,1,27700.84177861382,0,0,12,1
70,Student,PLZ_04,610,12,58603.62114331249,SUV,Comprehensive,2,1340.6458735556346,1,0,23,0
58,Self-employed,PLZ_07,651,17,48579.77152882352,Sports car,Liability,1,24905.97525406249,1,1,1,0
64,Employed,PLZ_02,539,24,15326.133264261814,SUV,Comprehensive,0,3476.278709289263,1,1,9,0
71,Unemployed,PLZ_01,730,16,36531.68976158862,SUV,Comprehensive,2,3989.3956952246035,0,1,15,0
59,Unemployed,PLZ_02,850,26,43281.31607723579,Mid-range,Liability,3,12250.073360862565,0,1,3,0
44,Unemployed,PLZ_02,488,0,77670.40628823507,Sports car,Liability,1,9885.452413484138,0,0,19,0
27,Self-employed,PLZ_06,627,18,18270.870839221745,Sports car,Partial coverage,2,10948.785255369068,1,1,23,0
50,Student,PLZ_03,572,5,28766.56744593506,Mid-range,Liability,1,40921.597345235394,1,1,0,1
65,Self-employed,PLZ_07,594,17,51772.128719404165,Mid-range,Liability,3,19478.902301129092,1,0,10,0
54,Unemployed,PLZ_04,607,12,17629.813060623193,Compact,Partial coverage,1,21547.36819181222,0,1,42,0
57,Unemployed,PLZ_10,469,27,15148.676336165918,Luxury,Liability,2,5554.066708596426,0,1,38,0
47,Student,PLZ_02,710,12,35938.39657430282,Sports car,Liability,0,23822.263395944407,1,1,11,0
18,Unemployed,PLZ_10,623,8,42147.13934111655,Sports car,Partial coverage,1,12926.931326301812,0,0,31,1
48,Student,PLZ_02,659,19,55375.360942525964,Mid-range,Partial coverage,0,6060.176871221857,0,0,11,0
44,Unemployed,PLZ_02,676,7,61062.669029035555,SUV,Partial coverage,1,22227.799987695613,1,0,5,0
55,Employed,PLZ_04,732,29,69641.31301173817,Compact,Liability,0,15480.350710672537,1,1,13,0
65,Unemployed,PLZ_08,801,19,27773.920070325268,Sports car,Partial coverage,0,6654.61087459695,0,1,19,0
